起始组,终止组,r,d,k
1,18,0.5691934379584687,0.5285042476987523,0.21137396192173072
1,17,0.5874803129018771,0.48286278070162103,0.2717277601575141
2,18,0.5620811604718904,0.5725261052202025,0.20477431220941186
1,16,0.6187055968183375,0.42385260061525404,0.3751458302419807
2,17,0.5810941530098157,0.5246602222424421,0.2637545118645047
3,18,0.5536743826449916,0.6224160263450798,0.19730842325063708
1,15,0.6882794274345934,0.33485987293695946,0.5884167370848745
2,16,0.6129481046771172,0.4624848319299216,0.36498384074770973
3,17,0.5734719424185921,0.5721761835923381,0.2547128805712109
4,18,0.5446217709648212,0.6826043912175648,0.18831634029238814
1,14,0.8806162248787045,0.16661733649164695,1.1554764419787287
2,15,0.683044025341007,0.3680295285481745,0.5745127858642571
3,16,0.6059791584678054,0.5065720822994754,0.35342853349492764
4,17,0.5653437949683142,0.6299977144676764,0.2437352788606236
5,18,0.5357283221901835,0.7568459405932682,0.1772583182600433
1,13,0.9857337668862246,0.052945509095785104,1.7404851830331203
2,14,0.8779304231443915,0.1863123480196966,1.1386527706009302
3,15,0.6765576861709652,0.4060726473113259,0.5586525869981483
4,16,0.5986091438352201,0.5608990428388894,0.3392361073917933
5,17,0.5576466661243001,0.7020882403509561,0.23010536406518772
6,18,0.5220383800088392,0.835092352170651,0.16566785264084039
