起始组,终止组,r,d,k
1,13,0.9143261143994044,0.10207211259106963,0.7991138872748402
1,12,0.9331082718083112,0.08654895487184727,0.9366792836016556
2,13,0.9180618348861699,0.1165409193191621,0.777529100503787
1,11,0.8612868486735826,0.09361832576707284,0.854916446575709
2,12,0.9383459990623176,0.09963303192048631,0.9118948807233911
3,13,0.9252275908168851,0.13492653666493667,0.7503951953733224
1,10,0.7331093153543842,0.0892329437690793,0.9231372265674397
2,11,0.8739639848582256,0.1090741344715366,0.8146921817060288
3,12,0.9479618098958198,0.11654625339511102,0.8803192493718138
4,13,0.9322180996312389,0.1551029126213594,0.7209002647837596
1,9,0.6649724131103076,0.06647541680843826,1.4111092208234097
2,10,0.7373294996645707,0.10629195713916857,0.85286599535244
3,11,0.9028500130619284,0.12949205759091528,0.7626301203190482
4,12,0.9576727060510993,0.13489453398738616,0.8464996496145759
5,13,0.928746830518772,0.16853027284538763,0.7015937635339975
1,8,0.8611320708070852,0.026692381870781143,2.6617807778849234
2,9,0.6300174424732558,0.08429349584726568,1.263402006256067
3,10,0.7684792294132544,0.12980952882892385,0.7588173289764937
4,11,0.946113711189858,0.15285037406483792,0.7041313383208643
5,12,0.9558538376996375,0.1451327387198321,0.8280430220356769
6,13,0.9196608510468389,0.17618506278916057,0.6909010795329368
1,7,0.958064155702736,0.011199870633893896,3.463260025873222
2,8,0.8320971721371138,0.03730458221024259,2.510691823899371
3,9,0.5978801757454338,0.11246907216494849,1.0386597938144329
4,10,0.848393582161933,0.15826612903225812,0.6479301075268812
5,11,0.962474969653998,0.16897277754147172,0.6649936197362822
6,12,0.9498397986426363,0.14778173972291625,0.8234499205087439
7,13,0.909407001989692,0.17042558862727664,0.6987487042795799
1,6,0.9721840993321175,0.0029348837209302314,4.025116279069768
2,7,0.948751939520533,0.01631950989632426,3.3724787935909513
3,8,0.7967362188547575,0.06087123287671235,2.18958904109589
4,9,0.583403919639546,0.15211475409836064,0.7326229508196721
5,10,0.9008326471331359,0.18002737752161385,0.5668587896253601
6,11,0.9626905667040723,0.17847155858930605,0.6431740614334469
7,12,0.949573322279994,0.132512018853103,0.8490494893951296
8,13,0.8995214591179906,0.15124931506849298,0.7243561643835619
1,5,0.961577218780324,-0.002500000000000016,4.540000000000001
2,6,0.9640651746159767,0.00455048076923073,3.987019230769232
3,7,0.9487396968674927,0.03328658536585369,3.088414634146341
4,8,0.7374746717739473,0.10339999999999996,1.6300000000000001
5,9,0.5210161535346324,0.18881443298969072,0.4644329896907215
6,10,0.9217472111014983,0.19548275862068965,0.5137931034482758
7,11,0.9617804690036286,0.17042430441898523,0.6607815057283143
8,12,0.9634795837666891,0.09339634146341486,0.912865853658536
9,13,0.8572173374593137,0.1462000000000001,0.731
